anchor,evaluated_candidate,frequency,expectation_gap,pinsker_rate,is_anchor
N11_A40,N21_A40,4.0548,0.13007564044768594,0.0042459518571084315,0
N11_A40,N31_A40,4.0548,0.12284355068718794,0.0037869349189138144,0
N11_A40,N11_A60,4.0548,0.1505559419651641,0.005688253210833446,0
N11_A40,N21_A60,4.0548,0.12013659758625689,0.0036218776541063515,0
N11_A40,N31_A60,4.0548,0.10782694663519773,0.0029176805112739877,0
N21_A40,N11_A20,4.0548,0.16361098613354852,0.006717505711551082,0
N21_A40,N21_A20,4.0548,0.15568727603990945,0.0060826014352809155,0
N21_A40,N31_A20,4.0548,0.15364950947000322,0.0059244150430111595,0
N21_A40,N11_A40,4.0548,0.15220833415940704,0.00581379863402745,0
N21_A40,N21_A40,4.0548,0.1300799318706595,0.004246232024491897,1
N21_A40,N31_A40,4.0548,0.1228500812014336,0.0037873375658521754,0
N21_A40,N11_A60,4.0548,0.15055311455508819,0.00568803956435474,0
N21_A40,N21_A60,4.0548,0.12015235115305811,0.003622827593320608,0
N21_A40,N31_A60,4.0548,0.10784520575015685,0.0029186687387289917,0
N31_A40,N11_A20,4.0548,0.1636022237047261,0.0067167861988723715,0
N31_A40,N21_A20,4.0548,0.15567844601448277,0.006081911488053449,0
N31_A40,N31_A20,4.0548,0.15364049603168334,0.005923719983411026,0
N31_A40,N11_A40,4.0548,0.15220482553655273,0.005813530604135871,0
N31_A40,N21_A40,4.0548,0.13007952971302067,0.0042462057690660126,0
N31_A40,N31_A40,4.0548,0.12285046185368152,0.0037873610360978187,1
N31_A40,N11_A60,4.0548,0.1505503023647377,0.005687827071898113,0
N31_A40,N21_A60,4.0548,0.12015558165341123,0.0036230224077048795,0
N31_A40,N31_A60,4.0548,0.1078492572715666,0.0029188880395485694,0
N11_A60,N11_A20,4.0548,0.16362815041183337,0.006718915240192237,0
N11_A60,N21_A20,4.0548,0.15570573451404096,0.006084043842134761,0
N11_A60,N31_A20,4.0548,0.15366873396167516,0.005925897650969996,0
N11_A60,N11_A40,4.0548,0.15221309565263974,0.00581416238278004,0
N11_A60,N21_A40,4.0548,0.13007727828117352,0.004246058782677209,0
N11_A60,N31_A40,4.0548,0.12284564454952529,0.0037870640162564716,0
N11_A60,N11_A60,4.0548,0.15055617997610865,0.0056882711957441994,1
N11_A60,N21_A60,4.0548,0.120140672846586,0.003622123380137592,0
N11_A60,N31_A60,4.0548,0.10783134997539931,0.0029179188153829272,0
N21_A60,N11_A20,4.0548,0.16355943567237188,0.00671327328228634,0
N21_A60,N21_A20,4.0548,0.15563509930482278,0.006078525095706305,0
N21_A60,N31_A20,4.0548,0.15359635647099784,0.0059203168072254056,0
N21_A60,N11_A40,4.0548,0.1521824441915708,0.005811820999108076,0
N21_A60,N21_A40,4.0548,0.13007044464772696,0.0042456126594569805,0
N21_A60,N31_A40,4.0548,0.12284479161439801,0.0037870114281695765,0
N21_A60,N11_A60,4.0548,0.15053067912187998,0.00568634442674681,0
N21_A60,N21_A60,4.0548,0.12016112717158361,0.0036233568407784814,1
N21_A60,N31_A60,4.0548,0.10785899675503804,0.0029194152521816855,0
N31_A60,N11_A20,4.0548,0.16353495568993653,0.0067112638780243,0
N31_A60,N21_A20,4.0548,0.15560730269553438,0.006076354026333773,0
N31_A60,N31_A20,4.0548,0.1535673678242951,0.005918082304000181,0
N31_A60,N11_A40,4.0548,0.1521653271242529,0.00581051367700381,0
N31_A60,N21_A40,4.0548,0.1300609169068545,0.00424499069470796,0
N31_A60,N31_A40,4.0548,0.12283712621466306,0.0037865388309951016,0
N31_A60,N11_A60,4.0548,0.15051478195631957,0.005685143449165019,0
N31_A60,N21_A60,4.0548,0.12015894685163866,0.0036232253505752814,0
N31_A60,N31_A60,4.0548,0.10786093802187821,0.0029195203415148595,1
