random_seed,phase_error_sd_radians,trial,minimum_gap_over_candidates,all_nine_positive
20260907,0.1,46,0.10718599836407355,1
20260907,0.1,47,0.10743650313306002,1
20260907,0.1,48,0.10749290882980789,1
20260907,0.1,49,0.10705672737490968,1
20260907,0.1,50,0.10770107746694285,1
20260907,0.1,51,0.10771190083678209,1
20260907,0.1,52,0.10743407156998223,1
20260907,0.1,53,0.10677909551601525,1
20260907,0.1,54,0.10708100339545579,1
20260907,0.1,55,0.10661626979577474,1
20260907,0.1,56,0.10734983657143157,1
20260907,0.1,57,0.10732058252916554,1
20260907,0.1,58,0.10734942713251874,1
20260907,0.1,59,0.10732469823858296,1
20260907,0.1,60,0.10773662352173313,1
20260907,0.1,61,0.10782094577132555,1
20260907,0.1,62,0.10746282178618871,1
20260907,0.1,63,0.10687655950292053,1
20260907,0.1,64,0.10698042452924444,1
20260907,0.1,65,0.10741654369996931,1
20260907,0.1,66,0.10782276644349437,1
20260907,0.1,67,0.10772322534346238,1
20260907,0.1,68,0.1072637084277929,1
20260907,0.1,69,0.10771310919385782,1
20260907,0.1,70,0.10776545362935139,1
20260907,0.1,71,0.10734401557350123,1
20260907,0.1,72,0.10733096917434454,1
20260907,0.1,73,0.10752207597407387,1
20260907,0.1,74,0.10771166068789742,1
20260907,0.1,75,0.10762358592291672,1
20260907,0.1,76,0.10753131708251408,1
20260907,0.1,77,0.10765912593528892,1
20260907,0.1,78,0.1078037139082462,1
20260907,0.1,79,0.10762899251171976,1
20260907,0.1,80,0.10745746344817911,1
20260907,0.1,81,0.10763195231657713,1
20260907,0.1,82,0.1075281057214202,1
20260907,0.1,83,0.1066634076397078,1
20260907,0.1,84,0.10714465317572808,1
20260907,0.1,85,0.10656947576018666,1
20260907,0.1,86,0.10761007571562858,1
20260907,0.1,87,0.10714365681281894,1
20260907,0.1,88,0.10603939629063983,1
20260907,0.1,89,0.10738360817172918,1
20260907,0.1,90,0.10731636103425643,1
20260907,0.1,91,0.1076466390767834,1
20260907,0.1,92,0.10716552905906196,1
20260907,0.1,93,0.1070854963154346,1
20260907,0.1,94,0.10667671922917082,1
20260907,0.1,95,0.10722776606671075,1
20260907,0.1,96,0.10698038831585152,1
20260907,0.1,97,0.10758438801942027,1
20260907,0.1,98,0.1071452040193594,1
20260907,0.1,99,0.10763723388858923,1
20260907,0.1,100,0.10772020129682089,1
20260907,0.2,1,0.10734416710820857,1
20260907,0.2,2,0.10749834561966706,1
20260907,0.2,3,0.104263191919217,1
20260907,0.2,4,0.10744635049766846,1
20260907,0.2,5,0.10498512585492276,1
20260907,0.2,6,0.1072583958162342,1
20260907,0.2,7,0.10560376890058583,1
20260907,0.2,8,0.10725110597578971,1
20260907,0.2,9,0.10365489421297083,1
20260907,0.2,10,0.10500338133071753,1
20260907,0.2,11,0.10476283728177513,1
20260907,0.2,12,0.10565213823038555,1
20260907,0.2,13,0.1064817542778507,1
20260907,0.2,14,0.10627281208765929,1
20260907,0.2,15,0.10622197430373959,1
20260907,0.2,16,0.10299158703610528,1
20260907,0.2,17,0.10699197997022733,1
20260907,0.2,18,0.10621995366418832,1
20260907,0.2,19,0.10411475401167022,1
20260907,0.2,20,0.10464606315838346,1
20260907,0.2,21,0.10720072508360395,1
20260907,0.2,22,0.10593836024651332,1
20260907,0.2,23,0.10627325554152449,1
20260907,0.2,24,0.10489429463923913,1
20260907,0.2,25,0.10087718841228652,1
20260907,0.2,26,0.10668569668890698,1
20260907,0.2,27,0.10762567530515325,1
20260907,0.2,28,0.10409320091071772,1
20260907,0.2,29,0.10267365448146931,1
20260907,0.2,30,0.10746611601237584,1
20260907,0.2,31,0.10672378960686299,1
20260907,0.2,32,0.10531285369724552,1
20260907,0.2,33,0.10625344049103999,1
20260907,0.2,34,0.10400402333506392,1
20260907,0.2,35,0.10690480766168403,1
20260907,0.2,36,0.10547529050724053,1
20260907,0.2,37,0.10403086219791483,1
20260907,0.2,38,0.10692711069477612,1
20260907,0.2,39,0.1053482289839569,1
20260907,0.2,40,0.10200594243288648,1
20260907,0.2,41,0.10386192989793469,1
20260907,0.2,42,0.10696272772700433,1
20260907,0.2,43,0.10453790501322671,1
20260907,0.2,44,0.1071753128029036,1
20260907,0.2,45,0.10275504680820693,1
20260907,0.2,46,0.1058168838695211,1
20260907,0.2,47,0.10659223685638142,1
20260907,0.2,48,0.1056862323036506,1
20260907,0.2,49,0.1067205355333557,1
20260907,0.2,50,0.10336411878145621,1
20260907,0.2,51,0.10573698818195046,1
20260907,0.2,52,0.1039422707908695,1
20260907,0.2,53,0.1018699008782977,1
20260907,0.2,54,0.10281344045365448,1
20260907,0.2,55,0.10746296977328774,1
20260907,0.2,56,0.1063465344474725,1
20260907,0.2,57,0.10621639777306337,1
20260907,0.2,58,0.10473362293498627,1
20260907,0.2,59,0.10650171394921767,1
20260907,0.2,60,0.10602418623643897,1
20260907,0.2,61,0.10757776683573723,1
20260907,0.2,62,0.10633326912840893,1
20260907,0.2,63,0.10527438764656633,1
