hidden_ring_states,cycle_affinity,coherence_bound,minimum_extra_decay_at_omega_4
57,9.0,1.4279782999457982,2.8011630149784685
58,9.0,1.4281289364218348,2.8008675533330814
59,9.0,1.4282720002898264,2.8005870024675383
60,9.0,1.428407990409225,2.8003203754510215
4,10.0,0.8482836399575131,4.715403918670815
5,10.0,1.0482444269940183,3.815903902747699
6,10.0,1.18171208475541,3.3849192638390577
7,10.0,1.2736494749540024,3.1405815168607982
8,10.0,1.3389221713842314,2.987477603619514
9,10.0,1.386576016962824,2.8848039711242497
10,10.0,1.42225036714536,2.8124443434164945
11,10.0,1.449556519834658,2.7594646674806826
12,10.0,1.4708705197240861,2.719477986920522
13,10.0,1.4877966559130302,2.6885394479834224
14,10.0,1.5014444898418935,2.664101155295599
15,10.0,1.5125985055721705,2.6444558719743814
16,10.0,1.5218245769220353,2.6284238411303593
17,10.0,1.5295383793479684,2.615168114777984
18,10.0,1.5360503391397253,2.604081323428648
19,10.0,1.5415957864629313,2.594713890064322
20,10.0,1.5463555757236043,2.5867271815075474
21,10.0,1.550470439836897,2.5798621484333384
22,10.0,1.5540511478188392,2.573917856959939
23,10.0,1.5571858023560863,2.5687364949949036
24,10.0,1.5599451565334008,2.564192711036732
25,10.0,1.5623865378954893,2.5601859098120103
26,10.0,1.5645567796220554,2.556634602271364
27,10.0,1.5664944345913683,2.553472206266363
28,10.0,1.5682314652132503,2.550643886906117
29,10.0,1.5697945456875924,2.5481041522207244
30,10.0,1.5712060746857333,2.54581500443859
31,10.0,1.5724849695290772,2.5437445047235694
32,10.0,1.5736472939630373,2.541865648894227
33,10.0,1.5747067580972989,2.5401554793815433
34,10.0,1.57567511933769,2.5385943783140625
35,10.0,1.5765625060428947,2.5371655006814993
36,10.0,1.5773776804292956,2.5358543167108647
37,10.0,1.5781282533855172,2.534648240039366
38,10.0,1.578820860971669,2.533536323771553
39,10.0,1.5794613102031878,2.5325090106103487
40,10.0,1.5800547000677974,2.531557926335314
41,10.0,1.5806055224611915,2.5306757082383986
42,10.0,1.581117746754679,2.5298558619117357
43,10.0,1.581594890954349,2.529092641154375
44,10.0,1.5820400818236373,2.528380946827308
45,10.0,1.582456105880106,2.5277162413142205
46,10.0,1.5828454528135127,2.527094475894654
47,10.0,1.5832103525837486,2.5265120288483005
48,10.0,1.583552807227204,2.525965652515237
49,10.0,1.5838746182157872,2.5254524278607007
50,10.0,1.5841774100644863,2.5249697253523986
51,10.0,1.5844626507633361,2.5245151711673017
52,10.0,1.584731669512214,2.524086617913816
53,10.0,1.5849856721573863,2.523682119192562
54,10.0,1.585225754663622,2.5232999074310287
55,10.0,1.5854529149021852,2.5229383745191707
56,10.0,1.5856680629908395,2.522596054848529
57,10.0,1.5858720303854428,2.5222716104197946
58,10.0,1.586065577892305,2.5219638177354122
59,10.0,1.5862494027451515,2.521671556236762
60,10.0,1.5864241448693401,2.52139379808131
4,11.0,0.879826699651985,4.546349868198132
5,11.0,1.1017923809061914,3.6304480493050053
6,11.0,1.2545533010433791,3.188385855486016
7,11.0,1.3621447404200744,2.9365454942522717
8,11.0,1.4397731258786501,2.7782154897209383
9,11.0,1.4971245291883668,2.6717884331028308
10,11.0,1.5404428140036683,2.5966559508975546
11,11.0,1.5738265053521918,2.5415762070323487
12,11.0,1.6000229561890433,2.499964131469248
13,11.0,1.6209139400923227,2.467743598881117
14,11.0,1.6378156278923068,2.442277342992246
15,11.0,1.6516669408866427,2.4217957634078044
16,11.0,1.6631500688049214,2.405074608134582
17,11.0,1.6727691075600117,2.3912445429092175
18,11.0,1.68090236977137,2.3796741987722134
19,11.0,1.6878378324261967,2.369895924331881
20,11.0,1.6937975818325501,2.3615572739644177
21,11.0,1.698954950084735,2.354388502061518
22,11.0,1.7034467136762095,2.3481802911037923
23,11.0,1.7073819019840537,2.3427681852266455
24,11.0,1.7108482428843497,2.3380215145536978
25,11.0,1.7139169380572463,2.3338353867568795
26,11.0,1.716646241836036,2.3301248111094846
27,11.0,1.7190841723548502,2.326820329292362
28,11.0,1.7212705860839184,2.3238647266380377
29,11.0,1.7232387801998152,2.321210528662886
30,11.0,1.7250167411757988,2.318818075512436
31,11.0,1.7266281257493683,2.3166540266242754
32,11.0,1.7280930376151642,2.3146901890885205
33,11.0,1.7294286468723679,2.312902591982565
34,11.0,1.7306496874600277,2.3112707493511087
35,11.0,1.7317688592044544,2.309777069116217
36,11.0,1.732797154761424,2.308406375788821
37,11.0,1.7337441270241905,2.3071455226012074
38,11.0,1.734618109038637,2.3059830744052863
39,11.0,1.7354263958018525,2.304909046950276
40,11.0,1.7361753952933874,2.303914691363346
41,11.0,1.7368707545356143,2.3029923150899485
